Local,97565,2436,0,0,0
 East,98102,1899,0,0,0
 West,97401,2542,58,0,0
North,98197,1785,19,0,0
South,97386,2566,49,0,0
   Up,98392,1571,38,0,0
 Down,98290,1662,49,0,0
