Local,97551,2450,0,0,0
 East,97498,2503,0,0,0
 West,98214,1787,0,0,0
North,98181,1796,24,0,0
South,97749,2252,0,0,0
   Up,0,0,0,0,0
 Down,98352,1625,24,0,0
