Local,97557,2444,0,0,0
 East,98079,1922,0,0,0
 West,97478,2523,0,0,0
North,97606,2380,15,0,0
South,97990,1960,51,0,0
   Up,98422,1530,49,0,0
 Down,0,0,0,0,0
